heart_rate,GSR,time
68,0.271812993,2021/12/6 17:36
68,0.272182907,2021/12/6 17:36
68.1,0.272331155,2021/12/6 17:36
68.1,0.272331155,2021/12/6 17:36
68,0.272702502,2021/12/6 17:36
67.8,0.272925764,2021/12/6 17:36
67.6,0.273074823,2021/12/6 17:36
67.7,0.273074823,2021/12/6 17:36
68,0.273448182,2021/12/6 17:36
68.2,0.273672687,2021/12/6 17:36
68.4,0.273672687,2021/12/6 17:36
68.3,0.274047684,2021/12/6 17:36
68,0.274197971,2021/12/6 17:36
67.5,0.274197971,2021/12/6 17:36
67.2,0.274649821,2021/12/6 17:36
67.3,0.274348422,2021/12/6 17:36
68,0.274951883,2021/12/6 17:36
69.1,0.274951883,2021/12/6 17:36
70.6,0.275027524,2021/12/6 17:36
71.9,0.274951883,2021/12/6 17:36
72.7,0.275633958,2021/12/6 17:36
72.7,0.275482094,2021/12/6 17:36
72.1,0.275633958,2021/12/6 17:37
71.2,0.276243094,2021/12/6 17:37
70.4,0.276166826,2021/12/6 17:37
69.7,0.276243094,2021/12/6 17:37
69.6,0.276778301,2021/12/6 17:37
69.9,0.276778301,2021/12/6 17:37
70.4,0.276854949,2021/12/6 17:37
